ticker,date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
^DJI,2008-03-06,12254.59,12267.86,12010.03,12040.39,4323460000
^DJI,2008-03-07,12039.09,12131.33,11778.66,11893.69,4565410000
^DJI,2008-03-10,11893.04,11993.75,11691.47,11740.15,4261240000
^DJI,2008-03-11,11741.33,12205.98,11741.33,12156.81,1033480000
^DJI,2008-03-12,12148.61,12360.58,12037.79,12110.24,4414280000
^DJI,2008-03-13,12096.49,12242.29,11832.88,12145.74,5073360000
^DJI,2008-03-14,12146.39,12249.86,11781.43,11951.09,1049040000
^DJI,2008-03-17,11946.45,12119.69,11650.44,11972.25,1588960000
^DJI,2008-03-18,11975.92,12411.63,11975.92,12392.66,1263390000
^DJI,2008-03-19,12391.52,12525.19,12077.27,12099.66,1203830000
^DJI,2008-03-20,12102.43,12434.34,12024.68,12361.32,2078450000
^DJI,2008-03-24,12361.97,12687.61,12346.17,12548.64,4499000000
^DJI,2008-03-25,12547.34,12639.82,12397.62,12532.6,4145120000
^DJI,2008-03-26,12531.79,12531.79,12309.62,12422.86,4055670000
^DJI,2008-03-27,12421.88,12528.13,12264.76,12302.46,4037930000
^DJI,2008-03-28,12303.92,12441.67,12164.22,12216.4,3686980000
^DJI,2008-03-31,12215.92,12384.84,12095.18,12262.89,4188990000
^DJI,2008-04-01,12266.64,12693.93,12266.64,12654.36,4745120000
^DJI,2008-04-02,12651.67,12790.28,12488.22,12608.92,4320440000
^DJI,2008-04-03,12604.69,12734.97,12455.04,12626.03,3920100000
^DJI,2008-04-04,12626.35,12738.3,12489.4,12609.42,3703100000
^DJI,2008-04-07,12612.59,12786.83,12550.22,12612.43,3747780000
^DJI,2008-04-08,12602.66,12664.38,12440.55,12576.44,3602500000
^DJI,2008-04-09,12574.65,12686.93,12416.53,12527.26,3556670000
^DJI,2008-04-10,12526.78,12705.9,12447.96,12581.98,3686150000
^DJI,2008-04-11,12579.78,12579.78,12280.89,12325.42,3723790000
^DJI,2008-04-14,12324.77,12430.86,12208.42,12302.06,3565020000
^DJI,2008-04-15,12303.6,12459.36,12223.97,12362.47,3581230000
^DJI,2008-04-16,12371.51,12670.56,12371.51,12619.27,4260370000
^DJI,2008-04-17,12617.4,12725.93,12472.71,12620.49,3713880000
^DJI,2008-04-18,12626.76,12965.47,12626.76,12849.36,4222380000
^DJI,2008-04-21,12850.91,12902.69,12666.08,12825.02,3420570000
^DJI,2008-04-22,12825.02,12870.86,12604.53,12720.23,3821900000
^DJI,2008-04-23,12721.45,12883.8,12627,12763.22,4103610000
^DJI,2008-04-24,12764.68,12979.88,12651.51,12848.95,4461660000
^DJI,2008-04-25,12848.38,12987.29,12703.7,12891.86,3891150000
^DJI,2008-04-28,12890.76,13015.62,12791.55,12871.75,3607000000
^DJI,2008-04-29,12870.37,12970.27,12737.82,12831.94,3815320000
^DJI,2008-04-30,12831.45,13052.91,12746.45,12820.13,4508890000
^DJI,2008-05-01,12818.34,13079.94,12721.94,13010,4448780000
^DJI,2008-05-02,13012.53,13191.49,12931.35,13058.2,3953030000
^DJI,2008-05-05,13056.57,13105.75,12896.5,12969.54,3410090000
^DJI,2008-05-06,12968.89,13071.07,12817.53,13020.83,3924100000
^DJI,2008-05-07,13010.82,13097.77,12756.14,12814.35,4075860000
^DJI,2008-05-08,12814.84,12965.95,12727.56,12866.78,3827550000
^DJI,2008-05-09,12860.68,12871.75,12648.09,12745.88,3518620000
^DJI,2008-05-12,12768.38,12903.33,12746.36,12876.05,3370630000
^DJI,2008-05-13,12872.08,12957.65,12716.16,12832.18,4018590000
^DJI,2008-05-14,12825.12,13037.44,12806.21,12898.38,3979370000
^DJI,2008-05-15,12891.29,13028.16,12798.39,12992.66,3836480000
^DJI,2008-05-16,12992.74,13069.52,12860.6,12986.8,3842590000
^DJI,2008-05-19,12985.41,13170.97,12899.19,13028.16,3683970000
^DJI,2008-05-20,13026.04,13026.04,12742.29,12828.68,3854320000
^DJI,2008-05-21,12824.94,12926.71,12550.39,12601.19,4517990000
^DJI,2008-05-22,12597.69,12743.68,12515.78,12625.62,3955960000
^DJI,2008-05-23,12620.9,12637.43,12420.2,12479.63,3516380000
^DJI,2008-05-27,12479.63,12626.84,12397.56,12548.35,3588860000
^DJI,2008-05-28,12542.9,12693.77,12437.38,12594.03,3927240000
^DJI,2008-05-29,12593.87,12760.21,12493.47,12593.87,3894440000
^DJI,2008-05-30,12647.36,12750.84,12555.6,12638.32,3845630000
^DJI,2008-06-02,12637.67,12645.4,12385.76,12503.82,3714320000
^DJI,2008-06-03,12503.2,12620.98,12317.61,12402.85,4396380000
^DJI,2008-06-04,12391.86,12540.37,12283.74,12390.48,4338640000
^DJI,2008-06-05,12388.81,12652.81,12358.07,12604.45,4350790000
^DJI,2008-06-06,12602.74,12602.74,12180.5,12209.81,4771660000
^DJI,2008-06-09,12210.13,12406.36,12102.5,12280.32,4404570000
^DJI,2008-06-10,12277.71,12425.98,12116.58,12289.76,4635070000
^DJI,2008-06-11,12286.34,12317.2,12029.46,12083.77,4779980000
^DJI,2008-06-12,12089.63,12337.72,12041.43,12141.58,4734240000
^DJI,2008-06-13,12144.59,12376.72,12096.23,12307.35,4080420000
^DJI,2008-06-16,12306.86,12381.44,12139.79,12269.08,3706940000
^DJI,2008-06-17,12269.65,12378.67,12114.14,12160.3,3801960000
^DJI,2008-06-18,12158.68,12212.33,11947.07,12029.06,4573570000
^DJI,2008-06-19,12022.54,12188.31,11881.03,12063.09,4811670000
^DJI,2008-06-20,12062.19,12078.23,11785.04,11842.69,5324900000
^DJI,2008-06-23,11843.83,11986.94,11731.06,11842.36,4186370000
^DJI,2008-06-24,11842.36,11962.37,11668.53,11807.43,4705050000
^DJI,2008-06-25,11805.31,12008.7,11683.75,11811.83,4825640000
^DJI,2008-06-26,11808.57,11808.57,11431.92,11453.42,5231280000
^DJI,2008-06-27,11452.85,11556.33,11248.48,11346.51,6208260000
^DJI,2008-06-30,11345.7,11504.55,11226.34,11350.01,5032330000
^DJI,2008-07-01,11344.64,11465.79,11106.65,11382.26,5846290000
^DJI,2008-07-02,11382.34,11510.41,11180.58,11215.51,5276090000
^DJI,2008-07-03,11297.33,11336.49,11158.02,11288.53,3247590000
^DJI,2008-07-07,11289.19,11477.52,11094.44,11231.96,5265420000
^DJI,2008-07-08,11225.03,11459.52,11101.19,11384.21,6034110000
^DJI,2008-07-09,11381.93,11505.12,11115.61,11147.44,5181000000
^DJI,2008-07-10,11148.01,11351.24,11006.01,11229.02,5840430000
^DJI,2008-07-11,11226.17,11292.04,10908.64,11100.54,6742200000
^DJI,2008-07-14,11103.64,11299.7,10972.63,11055.19,5434860000
^DJI,2008-07-15,11050.8,11201.67,10731.96,10962.54,7363640000
^DJI,2008-07-16,10961.89,11308.41,10831.61,11239.28,6738630400
^DJI,2008-07-17,11238.39,11538.5,11118.46,11446.66,7365209600
^DJI,2008-07-18,11436.56,11599.57,11290.5,11496.57,5653280000
^DJI,2008-07-21,11495.02,11663.4,11339.02,11467.34,4630640000
^DJI,2008-07-22,11457.9,11692.79,11273.32,11602.5,6180230000
^DJI,2008-07-23,11603.39,11820.21,11410.02,11632.38,6705830000
^DJI,2008-07-24,11630.34,11714.21,11288.79,11349.28,6127980000
^DJI,2008-07-25,11341.14,11540.78,11252.47,11370.69,4672560000
^DJI,2008-07-28,11369.47,11439.25,11094.76,11131.08,4282960000
^DJI,2008-07-29,11133.44,11444.05,11086.13,11397.56,5414240000
^DJI,2008-07-30,11397.56,11681.47,11328.68,11583.69,5631330000
^DJI,2008-07-31,11577.99,11631.16,11317.69,11378.02,5346050000
^DJI,2008-08-01,11379.89,11512.61,11205.41,11326.32,4684870000
^DJI,2008-08-04,11326.32,11449.67,11144.59,11284.15,4562280000
^DJI,2008-08-05,11286.02,11652.24,11286.02,11615.77,1219310000
^DJI,2008-08-06,11603.64,11745.71,11454.64,11656.07,4873420000
^DJI,2008-08-07,11655.42,11680.5,11355.63,11431.43,5319380000
^DJI,2008-08-08,11432.09,11808.49,11344.23,11734.32,4966810000
^DJI,2008-08-11,11729.67,11933.55,11580.19,11782.35,5067310000
^DJI,2008-08-12,11781.7,11830.39,11541.43,11642.47,4711290000
^DJI,2008-08-13,11632.81,11689.05,11377.37,11532.96,4787600000
^DJI,2008-08-14,11532.07,11744.33,11399.84,11615.93,4064000000
^DJI,2008-08-15,11611.21,11776.41,11540.05,11659.9,4041820000
^DJI,2008-08-18,11659.65,11744.49,11410.18,11479.39,3829290000
